correctionCount,text
0,No one has a European accent either because it doesn't exist. There are accents from Europe but not a European accent.
0,Haha i was getting nauseous from it if that was your ingame experience that would have given a whole new level of Bloodborne ^^ 
0,After reading this I wholeheartedly believe you should let her go. You and her simply aren't compatible. She's looking for a committment and you're bent on avoiding it. You should figure out your committment issues before getting into a committed relationship. 
0,You can buy a mystery sampler from small batch and request them
0,Nihilum and LG are significantly better off in theory. I can't really think of a replacement for Ptr that would leave CLG in a better place than they were before. Cloud9 should be much better but you never know.
0,Your 16 bars seems to focus on introducing yourself rather than a life you think is worth living. I understand if you introduced yourself in a few lines that made sense to the theme such as the line I fear my life remains aimless I traded paper for a lane switch. That made sense to the theme because it could be used to tell the audience how you dont have a life worth living yet. But lines like If you fight me I'ma show hands and throw down on yo ass like the young motherfucking Sylvester Stallone has has a place for introducing yourself but not for the theme of a life worth living.
0,Trinus vr is amazing but it'd be cool to be able to just sit anywhere and play without turning the pc on it seems like a waste not making fully functional games for gc.
0,It's not your fault don't think that. Hey if this helps it does then if it doesn't well. At least I can talk about it. I shot my dog. I had him for 10 years. I can home from partying and it was New Years so I was going to shoot off my .40 so... Well I was loading it outside and I shot it off accidentally. Right into my dog. Me having about 5-7 tequila shots into me though if I go to sleep I would wake up and he would be okay. Well if I called a vet when I shot him I could have saved him. Or at least from his pain. So I woke up saw a dead dog in my yard i cried for hours. That old dog still had a few good years in him. That was my fault and you sitting on a little tiny mouse is more understandable than a man discharging a firearm into a shitzu. Don't feel to bad. 
0,
0,and what about all of the players who hit vr 14 after 1.6 but before the removal of them?
0,"I would be tempted to excuse myself to the bathroom every time so you don't piss him off because he's your boss with disgusting details for negative reinforcement purposes. ""Hold on sir I really want to hear more about the mucus plug but I have to run before I end up with mushy green diarrhea in my pants. Be right back."""
0,I can't answer better than Acquittal. I just want you to know that I think you made the right decision. Good luck ! 
0,I'd recommend if you have the time to get an account with Citibank and get the Citibank Plus transaction account - they have no fees on currency conversion or transfers and charge no international atm withdrawal fees. Been using them recently for my overseas trips pretty handy.
0,I'm just an ordinary collector like everyone else here. Frankly I think you and everyone else who do giveaways are awesome. It gives people who never had the chance to get these two to FINALLY get them. If I win cool. If I don't then it's cool that it ended up in the hands of someone here that also wanted WFT and Ike.
